UNICLASS,PRICE_NEW
Pr_35_90_43_89,7.5
Pr_35_90_43_90,59.63333333333333
Pr_35_90_43_92,1.5
Pr_35_90_43_94,1.0
Pr_35_90_43_98,262.1769230769231
Pr_35_90_50_03,56.95000000000001
Pr_35_90_50_11,149.66428571428568
Pr_35_90_60_62,17.225
Pr_35_90_87,12.5
Pr_35_90_87_01,6.76551724137931
Pr_35_90_87_03,21.95
Pr_35_90_87_28,20.616666666666664
Pr_35_90_87_34,8.316666666666666
Pr_35_90_87_41,1.55
Pr_35_90_87_52,6.816666666666666
Pr_35_90_87_67,54.95000000000001
Pr_35_90_87_86,39.0
Pr_35_90_93,100.9875
Pr_35_90_93_26,15.1625
Pr_35_90_93_97,12.95
Pr_35_93_13,11.7
Pr_35_93_13_13,10.133333333333333
Pr_35_93_13_51,15.776923076923076
Pr_35_93_13_65,43.45454545454545
Pr_35_93_13_94,14.95
Pr_35_93_96_13,17.45
Pr_35_93_96_14,14.303333333333333
Pr_35_93_96_16,12.2
Pr_35_93_96_19,10.525
Pr_35_93_96_53,8.9375
Pr_35_93_96_56,25.95
Pr_35_93_96_63,19.550000000000004
Pr_35_93_96_85,18.133333333333336
Pr_35_93_96_88,9.5
Pr_35_93_96_89,66.18777777777778
Pr_35_93_97,1.25
Pr_35_93_97_52,13.71111111111111
Pr_40_10,3.95
Pr_40_10_57_23,399.31666666666666
Pr_40_10_57_33,19.95
Pr_40_10_57_52,26.95
Pr_40_10_57_59,6.15
Pr_40_10_57_62,41.95
Pr_40_10_57_65,2.95
